productName,platform,category,price,soldCount,rating,reviewCount,commissionRate,marginLevel,productUrl,contentDifficulty,trendLevel,competitionLevel
Portable Blender USB 450ml,Shopee,Kitchen Tools,149000,1240,4.8,312,11,Medium,https://example.com/shopee/portable-blender-usb,Easy,High,Medium
Rak Bumbu Dapur Putar 360,Shopee,Home Living,89000,980,4.7,221,9,Medium,https://example.com/shopee/rak-bumbu-putar,Easy,Stable,Medium
Serum Niacinamide Barrier 30ml,TikTok Shop,Beauty & Personal Care,69000,2140,4.9,540,14,High,https://example.com/tiktok-shop/serum-niacinamide-barrier,Medium,High,High
Hijab Sport Instant Cooling,TikTok Shop,Fashion Muslim,79000,760,4.8,188,13,High,https://example.com/tiktok-shop/hijab-sport-cooling,Easy,High,Medium
Wireless Lavalier Mic Type-C,Tokopedia,Digital Accessories,189000,650,4.7,146,10,Medium,https://example.com/tokopedia/wireless-lavalier-mic,Medium,High,High
Power Bank Slim 10000mAh,Tokopedia,Digital Accessories,159000,1120,4.8,273,8,Medium,https://example.com/tokopedia/power-bank-slim,Easy,Stable,High
Snack Oat Bar Rendah Gula,Lazada,Food & Snack,45000,890,4.6,127,12,Medium,https://example.com/lazada/snack-oat-bar,Easy,Stable,Low
Tumbler Reminder 1 Liter,Lazada,Health Lifestyle,99000,710,4.7,164,10,Medium,https://example.com/lazada/tumbler-reminder,Easy,High,Medium
Busy Book Anak Montessori,Shopee,Mom & Baby,129000,530,4.9,119,12,Medium,https://example.com/shopee/busy-book-montessori,Medium,Stable,Low
Vacuum Mini Cordless,TikTok Shop,Home Living,219000,840,4.8,205,9,Medium,https://example.com/tiktok-shop/vacuum-mini-cordless,Medium,High,Medium
